timestamp,latitude,longitude,image_path
2023-10-01 10:00:00,12.9716,77.5946,pothole1.jpg
2023-10-01 10:05:00,12.978,77.57,pothole2.jpg
2023-10-01 10:15:00,12.9352,77.6245,pothole3.jpg
2026-04-21 11:18:14,12.9716,77.5946,pothole_20260421_111814.jpg
2026-04-21 11:18:26,12.9716,77.5946,pothole_20260421_111826.jpg
2026-04-21 11:18:32,12.9716,77.5946,pothole_20260421_111832.jpg
2026-04-21 11:18:38,12.9716,77.5946,pothole_20260421_111838.jpg
2026-04-21 11:18:43,12.9716,77.5946,pothole_20260421_111843.jpg
2026-04-21 11:19:03,12.9716,77.5946,pothole_20260421_111903.jpg
2026-04-21 11:19:15,12.9716,77.5946,pothole_20260421_111915.jpg
2026-04-21 11:19:25,12.9716,77.5946,pothole_20260421_111925.jpg
2026-04-21 11:20:57,12.9716,77.5946,pothole_20260421_112057.jpg
2026-04-21 11:21:29,12.9716,77.5946,pothole_20260421_112129.jpg
2026-04-21 11:21:37,12.9716,77.5946,pothole_20260421_112137.jpg
2026-04-21 11:21:45,12.9716,77.5946,pothole_20260421_112145.jpg
2026-04-21 11:24:16,12.9716,77.5946,pothole_20260421_112416.jpg
2026-04-21 11:24:21,12.9716,77.5946,pothole_20260421_112421.jpg
2026-04-21 11:24:26,12.9716,77.5946,pothole_20260421_112426.jpg
2026-04-21 11:24:32,12.9716,77.5946,pothole_20260421_112432.jpg
2026-04-21 11:24:37,12.9716,77.5946,pothole_20260421_112437.jpg
2026-04-21 11:24:43,12.9716,77.5946,pothole_20260421_112443.jpg
2026-04-21 11:24:48,12.9716,77.5946,pothole_20260421_112448.jpg
2026-04-21 11:50:43,12.9716,77.5946,pothole_20260421_115043.jpg
2026-04-21 11:50:49,12.9716,77.5946,pothole_20260421_115049.jpg
2026-04-21 11:50:54,12.9716,77.5946,pothole_20260421_115054.jpg
2026-04-21 11:51:00,12.9716,77.5946,pothole_20260421_115100.jpg
2026-04-21 11:51:05,12.9716,77.5946,pothole_20260421_115105.jpg
2026-04-21 11:51:11,12.9716,77.5946,pothole_20260421_115111.jpg
2026-04-21 11:51:16,12.9716,77.5946,pothole_20260421_115116.jpg
2026-04-21 11:51:22,12.9716,77.5946,pothole_20260421_115122.jpg
2026-04-21 11:51:27,12.9716,77.5946,pothole_20260421_115127.jpg
2026-04-21 11:51:33,12.9716,77.5946,pothole_20260421_115133.jpg
2026-04-21 11:51:38,12.9716,77.5946,pothole_20260421_115138.jpg
2026-04-21 11:51:44,12.9716,77.5946,pothole_20260421_115144.jpg
2026-04-21 11:51:49,12.9716,77.5946,pothole_20260421_115149.jpg
2026-04-21 11:51:54,12.9716,77.5946,pothole_20260421_115154.jpg
2026-04-21 11:52:00,12.9716,77.5946,pothole_20260421_115200.jpg
2026-04-21 11:52:06,12.9716,77.5946,pothole_20260421_115206.jpg
2026-04-21 11:52:11,12.9716,77.5946,pothole_20260421_115211.jpg
2026-04-21 11:52:17,12.9716,77.5946,pothole_20260421_115217.jpg
2026-04-21 11:52:22,12.9716,77.5946,pothole_20260421_115222.jpg
2026-04-21 11:54:10,12.9716,77.5946,pothole_20260421_115410.jpg
